scr_selcode,sub_name,scr_credit,scj_scr_mso,cls_name,scr_period,scr_precnt,scr_acptcnt,scr_remarks
2515,中文思辨與表達(二)實習,0,必修,國際生不分系一年級,(五)02     人B117A,40,17,僅限全校國際生大一不分系學士班學生選課
2516,公民參與,1,必修,國際生不分系一年級,(一)06-07 忠208 林葳,50,42,僅限全校國際生大一不分系學士班學生選課
2517,社會實踐,1,必修,國際生不分系一年級,(一)06-07 忠208 郭廸賢,50,42,僅限全校國際生大一不分系學士班學生選課
2518,溝通表達技巧(二),3,必修,國際生不分系一年級,(二)02-04 人405 鄭安倫,50,43,僅限全校國際生大一不分系學士班學生選課
2519,經濟學(二),3,必修,國際生不分系一年級,(二)07-09 理109 黃琝琇,40,19,採現場加選，請至資電109室。
2520,經濟學(二)實習,0,必修,國際生不分系一年級,(二)06     理109,40,19,採現場加選，請至資電109室。
2521,進階程式邏輯與應用,1,必修,國際生不分系一年級,(三)02     圖213_程式實作 黃鈺茗,50,41,僅限全校國際生大一不分系學士班學生選課
2522,微積分(二)實習,0,必修,國際生不分系一年級,(四)02     忠302,40,18,採現場加選，請至資電109室。
2523,微積分(二),3,必修,國際生不分系一年級,(一)08-10 忠208 唐永立,40,17,採現場加選，請至資電109室。
2524,科技與藝術,2,選修,國際生不分系一年級,(四)03-04 忠302 林碧慧,45,41,僅限全校國際生大一不分系學士班學生選課
2525,環境與公害,2,選修,國際生不分系一年級,(四)08-09 理109 林俊德,50,41,僅限全校國際生大一不分系學士班學生選課
2526,台灣社會與文化,2,選修,國際生不分系一年級,"(三)03-04 人607 張志相,王志宇",50,39,僅限全校國際生大一不分系學士班學生選課
50,工業AI專題實務,3,選修,工程與科學學院綜合班,(二)11-13 工316 王坤卿,60,22,修讀完成3門可取得工業人工智慧微學程證書，且可列入「智慧應用學分學程」。
51,工程科技講座專題討論,2,選修,工程與科學學院綜合班,"(三)11-12 工108 蕭堯仁,黃錦煌",50,21,工科院榮譽課程，請依公告提出修課申請。限修課人數50人，以大一為優先。
52,金融素養,2,選修,工程與科學學院綜合班,(一)06-07 工302 梁馨予,60,58,限工科院、資電學院、建設學院學生修習。可計入外系9學分。
